FullName,Assists,Goals,Role,Total Contributions
Mislav Oršic,1,1,midfielders,2
Moussa Sissoko,0,0,midfielders,0
Mykola Matviyenko,0,0,defenders,0
Mykola Shaparenko,0,0,midfielders,0
N'Golo Kanté,0,0,midfielders,0
Nacer Chadli,0,0,midfielders,0
Nathan Aké,1,0,defenders,1
Nathan Patterson,0,0,defenders,0
Neco Williams,0,0,defenders,0
Nemanja Nikolic,0,0,forwards,0
Nico Elvedi,0,0,defenders,0
Nicolai Boilesen,0,0,defenders,0
Nicolò Barella,1,1,midfielders,2
Niklas Süle,0,0,defenders,0
Nikola Vlašic,0,1,midfielders,1
Nikolai Alho,0,0,midfielders,0
Oleksandr Karavaev,1,0,midfielders,1
Oleksandr Zinchenko,1,1,defenders,2
Oleksandr Zubkov,0,0,midfielders,0
Olivier Giroud,0,0,forwards,0
Ondrej Celustka,0,0,defenders,0
Ondrej Duda,0,0,midfielders,0
Ousmane Dembélé,0,0,forwards,0
Owen Wijndal,0,0,defenders,0
Pablo Sarabia,2,2,midfielders,4
Patrick van Aanholt,0,0,defenders,0
Patrik Hrošovský,0,0,midfielders,0
Patrik Schick,0,5,forwards,5
Paul Pogba,1,1,midfielders,2
Paulus Arajuuri,0,0,defenders,0
Pavel Kaderábek,0,0,defenders,0
Pawel Dawidowicz,0,0,midfielders,0
Peter Pekarík,0,0,defenders,0
Petr Ševcík,0,0,midfielders,0
Phil Foden,0,0,midfielders,0
Philipp Lienhart,0,0,defenders,0
Pierre Bengtsson,0,0,defenders,0
Pierre-Emile Højbjerg,3,0,midfielders,3
Piotr Zielinski,1,0,midfielders,1
Presnel Kimpembe,0,0,defenders,0
Przemyslaw Frankowski,1,0,midfielders,1
Przemyslaw Placheta,0,0,midfielders,0
Pyry Soiri,0,0,midfielders,0
Péter Gulácsi,0,0,goalkeepers,0
Quincy Promes,0,0,midfielders,0
Rafael Tolói,1,0,defenders,1
Raheem Sterling,1,3,forwards,4
Raphaël Guerreiro,0,1,defenders,1
Raphaël Varane,0,0,defenders,0
Rasmus Schüller,0,0,midfielders,0
Reece James,0,0,defenders,0
Remo Freuler,1,0,midfielders,1
Ricardo Rodríguez,0,0,defenders,0
Rifat Zhemaletdinov,0,0,midfielders,0
Robert Lewandowski,0,3,forwards,3
Robin Gosens,2,1,defenders,3
Robin Lod,0,0,midfielders,0
Robin Olsen,0,0,goalkeepers,0
Robin Quaison,0,0,midfielders,0
Roland Sallai,2,0,forwards,2
Roland Varga,0,0,midfielders,0
Roman Bezus,0,0,midfielders,0
Roman Yaremchuk,1,2,forwards,3
Roman Zobnin,0,0,midfielders,0
Romelu Lukaku,0,4,forwards,4
Ruben Vargas,0,0,midfielders,0
Ruslan Malinovskyi,1,0,midfielders,1
Ryan Christie,0,0,midfielders,0
Ryan Fraser,0,0,midfielders,0
Ryan Gravenberch,0,0,midfielders,0
Róbert Mak,1,0,forwards,1
Salvatore Sirigu,0,0,goalkeepers,0
Sasa Kalajdzic,0,1,forwards,1
Scott McKenna,0,0,defenders,0
Scott McTominay,0,0,midfielders,0
Sebastian Larsson,0,0,midfielders,0
Serge Gnabry,0,0,midfielders,0
Serhiy Kryvtsov,0,0,defenders,0
Serhiy Sydorchuk,0,0,midfielders,0
Silvan Widmer,0,0,midfielders,0
Simon Kjær,0,0,defenders,0
Stanislav Lobotka,0,0,midfielders,0
Stefan Ilsanker,0,0,midfielders,0
Stefan Lainer,0,1,defenders,1
Stefan Ristovski,0,0,defenders,0
Stefan Spirovski,0,0,midfielders,0
Stefan de Vrij,0,0,defenders,0
Stephen O'Donnell,0,0,defenders,0
Steven Berghuis,0,0,forwards,0
Steven Zuber,4,0,midfielders,4
Stole Dimitrievski,0,0,goalkeepers,0
Stuart Armstrong,0,0,midfielders,0
Szabolcs Schön,0,0,forwards,0
Tamás Cseri,0,0,midfielders,0
Taras Stepanenko,0,0,midfielders,0
Teemu Pukki,0,0,forwards,0
Thibaut Courtois,0,0,goalkeepers,0
Thomas Delaney,0,1,midfielders,1
Thomas Lemar,0,0,midfielders,0
Thomas Meunier,2,1,defenders,3
Thomas Müller,0,0,forwards,0
Thomas Vermaelen,1,0,defenders,1
Thorgan Hazard,0,2,midfielders,2
Tihomir Kostadinov,0,0,midfielders,0
Tim Sparv,0,0,midfielders,0
Timo Werner,0,0,forwards,0
Timothy Castagne,0,0,defenders,0
Toby Alderweireld,0,0,defenders,0
Tomáš Holeš,1,1,defenders,2
Tomáš Hubocan,0,0,defenders,0
Tomáš Kalas,1,0,defenders,1
Tomáš Pekhart,0,0,forwards,0
Tomáš Soucek,0,0,midfielders,0
Tomáš Suslov,0,0,midfielders,0
Tomáš Vaclík,0,0,goalkeepers,0
Toni Kroos,0,0,midfielders,0
Tyler Roberts,0,0,forwards,0
Tymoteusz Puchacz,0,0,defenders,0
Tyrone Mings,0,0,defenders,0
Valentino Lazaro,0,0,midfielders,0
Victor Lindelöf,0,0,defenders,0
Viktor Claesson,0,1,midfielders,1
Viktor Tsygankov,0,0,midfielders,0
Visar Musliu,0,0,defenders,0
Vitaliy Mykolenko,0,0,defenders,0
Vladimír Coufal,2,0,defenders,2
Vladimír Darida,0,0,midfielders,0
Vladimír Weiss,0,0,midfielders,0
Vlatko Stojanovski,0,0,forwards,0
Vyacheslav Karavaev,0,0,defenders,0
Willi Orbán,0,0,defenders,0
Wojciech Szczesny,0,0,goalkeepers,0
Wout Weghorst,0,1,forwards,1
Xaver Schlager,0,0,midfielders,0
Xherdan Shaqiri,1,3,midfielders,4
Yann Sommer,0,0,goalkeepers,0
Yannick Carrasco,0,0,midfielders,0
Yevhen Makarenko,0,0,midfielders,0
Youri Tielemans,0,0,midfielders,0
Yuri Zhirkov,0,0,defenders,0
Yussuf Poulsen,0,2,forwards,2
Ádám Nagy,0,0,midfielders,0
Ádám Szalai,1,1,forwards,2
Álvaro Morata,0,3,forwards,3
Šime Vrsaljko,0,0,defenders,0
