Temperature,Humidity,Value,Opponent,Country,StatsName,FullName,Temperature_zscore,Humidity_zscore,Average_zscore
19,76,3708.0,North Macedonia,Austria,Distance covered (m),Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1683.0,North Macedonia,Austria,Distance covered in possession (m),Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,26.1,North Macedonia,Austria,Top Speed (Km/h),Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Marko Arnautovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4.0,North Macedonia,Austria,Corners,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Tackles won,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Clearances,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,7.0,North Macedonia,Austria,Recovered balls,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,95.0,North Macedonia,Austria,Passes completed,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,90.0,North Macedonia,Austria,Passes accuracy,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,10044.0,North Macedonia,Austria,Distance covered (m),David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4216.0,North Macedonia,Austria,Distance covered in possession (m),David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,27.9,North Macedonia,Austria,Top Speed (Km/h),David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,David Alaba,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Total Attempts,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts on target,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Tackles won,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,5.0,North Macedonia,Austria,Recovered balls,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Fouls committed,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Yellow cards,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,37.0,North Macedonia,Austria,Passes completed,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,80.0,North Macedonia,Austria,Passes accuracy,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,4646.0,North Macedonia,Austria,Distance covered (m),Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1949.0,North Macedonia,Austria,Distance covered in possession (m),Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,25.0,North Macedonia,Austria,Top Speed (Km/h),Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Own-goals,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Goals conceded,Aleksandar Dragovic,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Goals,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Total Attempts,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Attempts on target,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Attempts off target,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Corners,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Offsides,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Saves,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Tackles won,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Clearances,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,9.0,North Macedonia,Austria,Recovered balls,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,2.0,North Macedonia,Austria,Fouls committed,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,1.0,North Macedonia,Austria,Yellow cards,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
19,76,0.0,North Macedonia,Austria,Red cards,Stefan Lainer,-1.131248904719205,1.6401957162583876,0.2544734057695913
